Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-06-28,165.31,29.25,193.0,-22.63,-5910.5649998,-11775884.6142,146.00973655
2017-06-27,-97.7,11.85,5.6599999999999,167.84,1888.7574679,3970581.9579,-27.15572756
2017-06-26,-69.25,-61.1,-171.71,-97.7,6523.5908171,14252512.2045,-112.02783373
2017-06-25,-115.9,-93.37,-73.0,-69.23,930.6933708,1216826.0274,-89.03248465
2017-06-24,10.83,-24.63,-161.95,-115.92,3134.33781839,7415956.8775,-82.85365791
2017-06-23,36.6,18.31,67.0,10.77,-2505.41363569,-6404483.464,30.51861155
2017-06-22,-81.78,-56.9,38.49,36.64,-5885.5381707,-15918492.9586,-9.9628387100001
2017-06-21,128.12,4.6400000000003,-25.91,-81.73,-1165.0342677,-3049949.4866,4.0080263999998
2017-06-20,81.74,179.95,103.5,128.1,5301.5675356,15968478.2512,126.35840814
2017-06-19,-119.69,-73.0,26.91,81.73,96.950036600001,227115.6957,-1.4795960900001
2017-06-18,154.5,-9.2399999999998,41.05,-119.69,-3769.7054611,-9823111.8908,-10.84315049
2017-06-17,70.46,154.59,126.12,154.51,-4290.6436086,-8155988.1225,130.36213922
2017-06-16,-22.23,-0.34999999999991,237.84,70.45,-20133.0841627,-44191873.1265,115.29791964
2017-06-15,-276.81,-302.0,-280.0,-22.23,13767.9070232,23910425.2621,-284.39022739
2017-06-14,54.66,28.01,-319.47,-276.8,8540.1606662,20152125.7802,-106.14436567
2017-06-13,-344.62,-201.0,185.58,53.3,-19224.2079518,-53479725.977,-35.05173407
2017-06-12,67.82,1.0,-417.11,-343.27,22645.6891069,59086758.37,-190.05570995
2017-06-11,119.79,56.95,79.75,67.83,-2439.3588691,-5968961.1561,63.67797715
2017-06-10,11.61,80.46,15.05,119.76,7294.5162899,21473994.9387,45.60986814
2017-06-09,109.74,52.8,174.79,11.66,-2013.3535441,-4500354.6723,88.51230796
2017-06-08,-181.27,-76.22,12.71,114.09,-6022.4945312,-17282235.7408,-40.63628234
2017-06-07,173.29,-53.55,-75.99,-185.65,-9133.4632928,-26401737.0235,-35.69899145
2017-06-06,176.57,240.55,157.67,173.29,15009.8780794,45028012.1294,204.57531749
2017-06-05,-26.87,141.9,47.04,176.64,-221.0241953,759020.7643,96.65763096
2017-06-04,69.31,-42.9,21.98,-26.69,378.9043019,629772.233,-23.99431585
2017-06-03,59.01,120.01,68.56,69.06,551.229954,2863571.5925,113.64334133
2017-06-02,116.37,-9.0100000000002,77.44,59.0,-8499.6761996,-20093027.1125,23.71366763
2017-06-01,112.01,149.09,128.2,116.7,-336.5958127,2471080.3576,150.91363318
2017-05-31,-87.58,2.0299999999997,61.49,111.71,810.9308612,1947120.2204,5.8957461300001
2017-05-30,42.18,-20.98,-28.81,-87.9,3989.655422,8520370.6597,-25.34198205
2017-05-29,137.01,14.87,41.26,46.7,-1416.3373983,-2408292.2387,43.86655029
2017-05-28,-176.47,-10.36,186.67,132.79,-14123.4892632,-27497680.5213,120.78780427
2017-05-27,-85.71,-329.83,-138.82,-172.71,710.2686103,-6844448.9924,-262.58818942
2017-05-26,-70.79,-122.82,-174.85,-82.3,-5438.9349895,-20365358.5582,-201.49646826
